Five-Year Age Groups Code	Race Code	Hispanic Origin Code	State Code	Gender Code	Deaths	Population
<1	2054-5	2186-2	25	F	28	3124
<1	2054-5	2186-2	25	M	29	3283
<1	2106-3	2186-2	25	F	64	22385
<1	2106-3	2186-2	25	M	103	23502
<1	2106-3	2135-2	26	F	26	3668
<1	2106-3	2135-2	26	M	44	3812
<1	2054-5	2186-2	26	F	126	10957
<1	2054-5	2186-2	26	M	154	11488
<1	2106-3	2186-2	26	F	163	37982
<1	2106-3	2186-2	26	M	206	39888
<1	2106-3	2135-2	27	M	16	2558
<1	A-PI	2186-2	27	M	22	2262
<1	2054-5	2186-2	27	F	35	3193
<1	2054-5	2186-2	27	M	59	3293
<1	2106-3	2186-2	27	F	84	25578
<1	2106-3	2186-2	27	M	115	26848
<1	2054-5	2186-2	28	F	99	8529
<1	2054-5	2186-2	28	M	115	8947
<1	2106-3	2186-2	28	F	56	8900
<1	2106-3	2186-2	28	M	75	9403
<1	2106-3	2135-2	29	M	11	2141
<1	2054-5	2186-2	29	F	66	5777
<1	2054-5	2186-2	29	M	78	6045
<1	2106-3	2186-2	29	F	136	27132
<1	2106-3	2186-2	29	M	178	28537
<1	2106-3	2186-2	30	F	15	4980
<1	2106-3	2186-2	30	M	33	5191
<1	2106-3	2135-2	31	M	18	2075
<1	2054-5	2186-2	31	M	13	934
<1	2106-3	2186-2	31	F	45	9118
<1	2106-3	2186-2	31	M	54	9669
<1	2106-3	2135-2	32	F	28	6203
<1	2106-3	2135-2	32	M	29	6466
<1	2054-5	2186-2	32	F	21	1930
<1	2054-5	2186-2	32	M	31	2065
<1	2106-3	2186-2	32	F	28	6871
<1	2106-3	2186-2	32	M	31	7177
<1	2106-3	2186-2	33	F	17	5456
<1	2106-3	2186-2	33	M	30	5715
<1	2054-5	2135-2	34	M	11	2280
<1	2106-3	2135-2	34	F	45	12755
<1	2106-3	2135-2	34	M	63	13265
<1	A-PI	2186-2	34	F	11	4869
<1	A-PI	2186-2	34	M	11	5086
<1	2054-5	2186-2	34	F	80	7696
<1	2054-5	2186-2	34	M	82	7904
<1	2106-3	2186-2	34	F	75	22470
<1	2106-3	2186-2	34	M	96	23674
<1	2106-3	2135-2	35	F	25	6894
<1	2106-3	2135-2	35	M	38	7175
<1	1002-5	2186-2	35	F	11	1423
<1	1002-5	2186-2	35	M	10	1469
<1	2106-3	2186-2	35	F	17	3365
<1	2106-3	2186-2	35	M	20	3507
<1	2106-3	2135-2	36	F	87	22510
<1	2106-3	2135-2	36	M	105	23637
